KEY_CODE,T000918001,T000918002,T000918003,T000918004,T000918005,T000918006,T000918007,T000918008,T000918009,T000918010,T000918011,T000918012,T000918013,T000918014,T000918015,T000918016,T000918017,T000918018,T000918019,T000918020,T000918021,T000918022,T000918023,T000918024,T000918025,T000918026,T000918027,T000918028,T000918029,T000918030,T000918031,T000918032,T000918033,T000918034,T000918035,T000918036,T000918037,T000918038,T000918039,T000918040
,Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,ÇbÅ`ÇdëÊÇQéüéYã∆,Çbçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,Çcåöê›ã∆,Çdêªë¢ã∆,ÇeÅ`ÇqëÊÇRéüéYã∆,ÇeìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfèÓïÒí êMã∆,Çgâ^óAã∆ÅCóXï÷ã∆,ÇhâµîÑã∆ÅCè¨îÑã∆,Çiã‡óZã∆ÅCï€åØã∆,ÇjïsìÆéYã∆ÅCï®ïií¿ë›ã∆,Çkäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,Çlèhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,Çnã≥àÁÅCäwèKéxâáã∆,Çoà„ó√ÅCïüéÉ,Çpï°çáÉTÅ[ÉrÉXéñã∆,ÇqÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,ÇbÅ`ÇdëÊÇQéüéYã∆,Çbçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,Çcåöê›ã∆,Çdêªë¢ã∆,ÇeÅ`ÇqëÊÇRéüéYã∆,ÇeìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfèÓïÒí êMã∆,Çgâ^óAã∆ÅCóXï÷ã∆,ÇhâµîÑã∆ÅCè¨îÑã∆,Çiã‡óZã∆ÅCï€åØã∆,ÇjïsìÆéYã∆ÅCï®ïií¿ë›ã∆,Çkäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,Çlèhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,Çnã≥àÁÅCäwèKéxâáã∆,Çoà„ó√ÅCïüéÉ,Çpï°çáÉTÅ[ÉrÉXéñã∆,ÇqÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,íj-Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,èó-Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj
534000003,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,34,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,6,28
534000021,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
534000022,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
534000024,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
534000031,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,7,0,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,3
534000032,5,2,0,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,13,4,0,2,2,9,0,0,0,6,1,0,0,0,0,0,0,0,2,8,5
534000033,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3
534000034,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0
534000041,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
