,station_name,number_of_stores
0,新宿,3252
1,渋谷,2839
2,池袋,2094
3,上野,2848
4,東京,4225
5,品川,893
6,新橋,2715
7,日暮里,1017
8,船橋,602
9,本八幡,389
10,市川,422
11,新小岩,512
12,錦糸町,1163
13,柏,760
14,松戸,444
15,北千住,879
16,新浦安,260
17,舞浜,124
18,大井町,590
19,大森,813
20,蒲田,1034
21,川崎,1108
22,横浜,1890
23,戸塚,377
24,大船,429
25,藤沢,589
26,武蔵小杉,618
27,中野,729
28,荻窪,607
29,吉祥寺,1256
30,三鷹,452
31,国分寺,396
32,立川,977
33,八王子,852
34,赤羽,600
35,川口,587
36,浦和,679
37,大宮,1413
38,練馬,459
39,所沢,381
40,府中,481
41,調布,436
42,下北沢,555
43,登戸,277
44,新百合ヶ丘,344
45,橋本,463
46,溝の口,493
47,町田,953
48,本厚木,696
49,海老名,486
50,上大岡,393
51,津田沼,433
52,千葉,1130
53,海浜幕張,424
54,茅ヶ崎,515
55,平塚,700
